jobId,jobTitle,careerCluster,seniorityLevel,description,requiredSkills,skillCount,certifications,topRelatedRoles
job-001-net-developer,.NET Developer,Backend & Software Development,Mid Level,Develops applications using .NET framework technologies including C#. Responsibilities include application design/development/testing.,NET; C#; ASP.NET; SQL Server; Web API; MVC; Entity Framework; LINQ; Git; Cloud Computing,10,Microsoft Certified: .NET Developer; MCP: Programming in C#,C# Developer; Sharepoint Developer; Python Developer; Java Developer; Full Stack Python Developer/Programmer/Engineer
job-002-2d-artist-animator,2d Artist/Animator,"Game, VFX & Creative Production",Mid Level,Creates 2D animations for various media.,2D Animation; Drawing; Illustration; Animation Software,4,Toon Boom Certified Artist; Autodesk SketchBook Certification,Character Designer; Computer Graphics Animator; Technical Animator; Storyboard Artist; Motion Graphics Artist
job-003-3d-artist-animator,3d Artist/Animator,"Game, VFX & Creative Production",Mid Level,Creates 3D animations for various media.,3D Animation; Modeling; Texturing; Rigging,4,Autodesk Maya Certified Professional; Blender Cloud Certification,Rigging Artist; Computer Graphics Animator
job-004-accessibility-specialist,Accessibility Specialist,Frontend & Web Development,Mid Level,"Ensures digital content meets accessibility standards (e.g., WCAG). Conducts audits/reviews to improve accessibility compliance.",WCAG; ARIA; Accessibility Testing; Assistive Technologies; HTML; CSS; JavaScript; UI/UX; ADA Compliance; Web Accessibility Guidelines; User Experience Design,11,IAAP CPACC; W3C Web Accessibility Specialist; IAAP Certified Professional in Accessibility Core Competencies (CPACC); Web Accessibility Specialist (WAS),Front-End Designer; Junior Web Developer; React Developer; Entry Level Web Developer; Junior Front End Developer
job-005-admin-big-data,Admin Big Data,Big Data Engineering,Mid Level,"Responsible for managing and overseeing big data infrastructure, ensuring data integrity, security, and availability. Requires expertise in Hadoop, Spark, and data warehousing solutions.",Hadoop; Spark; MapReduce; Data Lakes; Data Warehousing; Big Data Architecture; NoSQL; Data Modeling; ETL; Cloud Computing; AWS; Azure; Data Governance; Security; Big Data Management; SQL,16,Cloudera Certified Professional (CCP); Hortonworks Certified Associate (HCA); AWS Certified Big Data – Specialty; Cloudera Certified Administrator (CCA); Google Cloud Professional Data Engineer,Big Data Architect; Big Data Specialist; Principle Engineer in Big Data; Big Data Engineer
job-006-agile-project-manager,Agile Project Manager,Product & Project Management,Lead / Manager,"Manages Agile projects by facilitating Scrum ceremonies (e.g., sprint planning). Ensures team adherence to Agile principles/methodologies.",Agile Methodologies; Scrum; Kanban; Project Management; Stakeholder Management; Communication; Jira; Confluence; Project Management Tools; Leadership,10,Project Management Professional (PMP); Certified ScrumMaster (CSM); PMI Agile Certified Practitioner (PMI-ACP); Certified Scrum Master (CSM); SAFe Agilist Certification,Iteration Manager; Product Manager; Web Project Manager; Project Manager; Requirements Manager
job-007-ai-researcher,AI Researcher,AI & Machine Learning,Mid Level,"Conducts research in artificial intelligence and machine learning, developing new algorithms and techniques.",AI/ML Algorithms; Python; Research Methodologies; Data Analysis,4,Google TensorFlow Developer Certificate; IBM AI Engineering Professional Certificate,Artificial Intelligence Researcher; Artificial Intelligence Engineer; Natural Language Processing Engineer; Machine Learning Engineer; Principle Engineer in Machine Learning
job-008-ai-software-architect,AI Software Architect,AI & Machine Learning,Senior,"Designs and implements AI software systems, ensuring scalability and performance.",AI/ML Architecture; Software Design; Cloud Computing; Data Modeling,4,Microsoft Certified: Azure AI Engineer Associate; AWS Certified Machine Learning - Specialty,Principle Engineer in Artificial Intelligence; Machine learning Architect; Artificial intelligence Architect; Principle Engineer in Machine Learning; Artificial Intelligence / Machine Learning Leader
job-009-android-developer,Android Developer,Mobile Development,Mid Level,Develops mobile applications using Android SDK/Java/Kotlin technologies while focusing on UI/UX design principles.,Android SDK; Java; Kotlin; UI/UX Design; REST APIs; SQL; Android Studio; Firebase; Mobile Development; Mobile App Development,10,Associate Android Developer; Google Play Store Certification; Google Associate Android Developer; Meta Android Developer Professional Certificate,IOS Developer; Mobile App Developer; Mobile Application Developer; Mobile Developer
job-010-animation-director,Animation Director,"Game, VFX & Creative Production",Executive / Director,"Directs animation projects, ensuring artistic quality and storytelling effectiveness.",Animation Direction; Storytelling; Team Leadership; Project Management,4,Toon Boom Harmony Certification; School of Motion Animation Bootcamp,Graphic Effects Supervisor; Art Director
job-011-animator,Animator,"Game, VFX & Creative Production",Mid Level,"Creates animations for various media, including films, games, and websites.",Animation Software; 2D/3D Animation; Storyboarding; Visual Effects,4,Adobe Certified Professional (ACP) in After Effects; Toon Boom Harmony Certification,Motion Graphics Artist; Computer Graphics Animator; Visual Effects Animator; VFX Artist; Technical Animator
job-012-ansible-automation-engineer,Ansible Automation Engineer,Cloud & DevOps Engineering,Mid Level,Automates IT tasks using Ansible playbooks/scripts while managing configurations across environments.,Ansible; Automation; Infrastructure as Code; Cloud Computing; AWS; Azure; Linux; Python; Scripting; Networking; Automation Scripts,11,Red Hat Ansible Automation Certification; AWS Certified DevOps Engineer - Professional; Red Hat Certified Specialist in Ansible Automation,Senior Ansible Development Engineer; DevOps Engineer; Cloud engineer; Ansible Operations Engineer; Cloud administrator
job-013-ansible-operations-engineer,Ansible Operations Engineer,Cloud & DevOps Engineering,Mid Level,"Focuses on automating IT processes using Ansible. Responsibilities include writing playbooks, managing configurations, and ensuring system reliability.",Ansible; Linux; Automation; Cloud Platforms; CI/CD; Infrastructure as Code; Kubernetes; Docker; AWS; Terraform; Python; Scripting; Networking,13,Red Hat Certified Specialist in Ansible Automation; AWS Certified DevOps Engineer – Professional,DevOps Engineer; Senior DevOps Engineer; Senior Ansible Development Engineer; AWS DevOps Engineer; Ansible Automation Engineer
job-014-api-developer,API Developer,Backend & Software Development,Mid Level,Develops and implements APIs for integrating systems and applications.,API Design; RESTful Services; Programming Languages; Security,4,Zabbix Certified Specialist,Software Development Engineer; Software Architect; Lead Programmer; Application Engineer; Application Designer
